exp,seed,mu_seed,sigma0,depth,width,B,delta,relmse,train_sec,beta,sigma_inf,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_bound,2.0,0.0,0.01,4.0,512.0,0.25,0.06931471805599453,0.007023710033190588,330.1209874153137,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.001,4.0,512.0,0.001,0.06931471805599453,0.9999969791296061,329.9497170448303,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.001,4.0,512.0,0.01,0.06931471805599453,0.9540001533993696,330.1990530490875,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.001,4.0,512.0,0.1,0.06931471805599453,0.008908053724670496,330.16254448890686,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.001,4.0,512.0,0.25,0.06931471805599453,0.009618552760382924,330.0675320625305,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.0001,4.0,512.0,0.001,0.06931471805599453,0.9999999904169291,330.0200824737549,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.0001,4.0,512.0,0.01,0.06931471805599453,0.9854464010058391,330.1942632198334,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.0001,4.0,512.0,0.1,0.06931471805599453,0.032884042915147814,329.98674845695496,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,2.0,0.0,0.0001,4.0,512.0,0.25,0.06931471805599453,0.02116785369138295,330.45150804519653,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9436118604298083,330.5148289203644,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
