exp,seed,sigma0,depth,width,t,t_frac,relmse,train_sec,beta,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,score_chunk
exp_sigma,4.0,0.01,4.0,512.0,0.7,0.7,0.0014169270273521294,42.28306174278259,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.01,4.0,512.0,0.9,0.9,0.0016581875751615002,42.454669713974,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.1,4.0,512.0,0.1,0.1,0.0052950097303771666,42.5598361492157,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.1,4.0,512.0,0.3,0.3,0.006348364900228246,44.18991494178772,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.1,4.0,512.0,0.5,0.5,0.002913066252244217,41.78952956199646,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.1,4.0,512.0,0.7,0.7,0.0013985449302835052,42.284701347351074,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,0.1,4.0,512.0,0.9,0.9,0.0020674096206782237,42.82699012756348,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,1.0,4.0,512.0,0.1,0.1,0.003966130416898356,41.648927211761475,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,1.0,4.0,512.0,0.3,0.3,0.005739748116099884,42.32773733139038,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,1.0,4.0,512.0,0.5,0.5,0.0032886036948558714,42.55936932563782,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,1.0,4.0,512.0,0.7,0.7,0.0012027202281403129,42.51608085632324,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,4.0,1.0,4.0,512.0,0.9,0.9,0.0012720660583419024,41.23084545135498,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.01,4.0,512.0,0.1,0.1,0.005029862039084756,42.69366264343262,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.01,4.0,512.0,0.3,0.3,0.004761772694639528,42.028074979782104,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.01,4.0,512.0,0.5,0.5,0.003179785323907051,41.90152382850647,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.01,4.0,512.0,0.7,0.7,0.0016741465629023966,41.957316637039185,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
